Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
79,-1,20,"(5, 1)","(0, 0);(0, 0);(1, 0);(0, 0);(1, 0);(1, 1);(2, 1);(2, 0);(3, 0);(4, 0);(4, 1);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 1)","(5, 2)",0.6730128848950395,False
80,0,20,"(5, 0)","(1, 0);(2, 0);(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 1);(5, 0);(5, 0);(5, 0);(4, 0);(5, 0);(5, 0);(5, 0);(5, 0);(5, 0)","(5, 1)",0.6696478204705644,False
81,0,20,"(4, 3)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 0);(2, 0);(3, 0);(3, 1);(3, 0);(4, 0);(4, 0);(4, 0);(5, 0);(5, 1);(5, 1);(5, 2);(5, 3);(5, 2);(4, 2);(4, 3)","(3, 3)",0.6662995813682115,False
82,-1,20,"(3, 1)","(0, 1);(0, 0);(1, 0);(0, 0);(1, 0);(0, 0);(0, 0);(1, 0);(1, 1);(1, 2);(1, 3);(2, 3);(2, 2);(2, 1);(2, 0);(3, 0);(2, 0);(2, 0);(2, 1);(3, 1)","(4, 1)",0.6629680834613705,False
83,0,20,"(5, 1)","(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(5, 0);(4, 0);(4, 1);(5, 1);(4, 1);(5, 1);(4, 1);(4, 0);(4, 1);(4, 2);(4, 1);(5, 1);(4, 1);(5, 1);(5, 1)","(5, 1)",0.6596532430440636,False
84,0,20,"(4, 1)","(1, 0);(0, 0);(0, 0);(0, 1);(0, 1);(0, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 0);(4, 0);(4, 1);(5, 1);(5, 1);(5, 1);(5, 1);(5, 1);(4, 1)","(4, 0)",0.6563549768288433,False
85,-1,20,"(4, 0)","(0, 0);(1, 0);(1, 1);(1, 0);(2, 0);(3, 0);(3, 1);(2, 1);(2, 0);(3, 0);(3, 1);(4, 1);(4, 0);(4, 0);(3, 0);(3, 1);(3, 2);(3, 1);(3, 0);(4, 0)","(5, 0)",0.653073201944699,False
86,-2,20,"(4, 0)","(0, 0);(0, 0);(0, 0);(1, 0);(1, 0);(2, 0);(1, 0);(1, 1);(1, 0);(1, 1);(2, 1);(2, 2);(2, 3);(3, 3);(3, 4);(3, 3);(3, 2);(4, 2);(4, 1);(4, 0)","(4, 1)",0.6498078359349755,False
87,0,20,"(4, 2)","(1, 0);(2, 0);(3, 0);(4, 0);(5, 0);(4, 0);(5, 0);(4, 0);(4, 0);(4, 1);(4, 0);(3, 0);(4, 0);(5, 0);(5, 1);(5, 1);(5, 1);(5, 1);(5, 2);(4, 2)","(3, 2)",0.6465587967553006,False
88,-1,20,"(3, 2)","(0, 0);(0, 0);(0, 0);(0, 0);(1, 0);(1, 1);(2, 1);(3, 1);(3, 0);(4, 0);(3, 0);(4, 0);(5, 0);(5, 1);(4, 1);(5, 1);(5, 1);(4, 1);(4, 2);(3, 2)","(3, 3)",0.6433260027715241,False
89,-3,20,"(3, 1)","(0, 1);(0, 1);(0, 0);(0, 1);(1, 1);(2, 1);(1, 1);(2, 1);(1, 1);(0, 1);(0, 2);(0, 1);(0, 1);(0, 0);(1, 0);(2, 0);(1, 0);(2, 0);(3, 0);(3, 1)","(2, 1)",0.6401093727576664,False
90,0,20,"(4, 0)","(0, 0);(0, 0);(1, 0);(2, 0);(1, 0);(1, 0);(2, 0);(2, 0);(2, 1);(3, 1);(4, 1);(4, 0);(4, 1);(3, 1);(3, 0);(3, 0);(4, 0);(3, 0);(3, 0);(4, 0)","(4, 1)",0.6369088258938781,False
