,Episode,Total Reward,Steps Taken,state,Path,Final_position,Epsilon,Done
621,622,0,20,"(5, 4)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(4, 2);(4, 3);(5, 3);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4)","(5, 4)",0.0442543762441885,False
622,623,5,14,"(5, 5)","(1, 0);(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(3, 1);(3, 2);(4, 2);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0440331043629676,True
623,624,5,11,"(5, 5)","(1, 0);(2, 0);(3, 0);(3, 1);(3, 2);(4, 2);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0438129388411527,True
624,625,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(4, 5);(5, 5)","(5, 5)",0.043593874146947,True
625,626,4,11,"(5, 5)","(1, 0);(1, 1);(1, 2);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0433759047762122,True
626,627,5,13,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(2, 3);(3, 3);(4, 3);(4, 4);(5, 4);(5, 3);(5, 4);(5, 5)","(5, 5)",0.0431590252523312,True
627,628,5,11,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0429432301260695,True
628,629,5,11,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0427285139754392,True
629,630,5,11,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.042514871405562,True
630,631,5,11,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0423022970485342,True
631,632,5,11,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(3, 2);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0420907855632915,True
632,633,0,20,"(5, 4)","(1, 0);(2, 0);(3, 0);(4, 0);(4, 1);(4, 2);(4, 3);(5, 3);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4);(5, 4)","(5, 4)",0.0418803316354751,False
633,634,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0416709299772977,True
634,635,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0414625753274112,True
635,636,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0412552624507741,True
636,637,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0410489861385203,True
637,638,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0408437412078277,True
638,639,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0406395225017885,True
639,640,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(0, 4);(1, 4);(2, 4);(3, 4);(4, 4);(5, 4);(5, 5)","(5, 5)",0.0404363248892796,True
640,641,5,11,"(5, 5)","(0, 1);(0, 2);(0, 3);(1, 3);(2, 3);(3, 3);(4, 3);(4, 4);(4, 5);(5, 5)","(5, 5)",0.0402341432648332,True
641,642,5,13,"(5, 5)","(1, 0);(2, 0);(2, 1);(2, 2);(2, 3);(2, 4);(3, 4);(3, 5);(4, 5);(4, 4);(4, 5);(5, 5)","(5, 5)",0.040032972548509,True
